,Zipcode,PropertyValueCount,MeanPropertyValue,MeanPropertyDollarValue,Lat,Lng,City,State,bank_count,bank_rating,supermarket_count,supermarket_rating,hospital_count,hospital_rating,cafe_count,cafe_rating
74,75232,8653,113763.40459956085,"$113,763",32.6557784,-96.8458204,Dallas,TX,14,3.221428571428571,5,4.04,7,3.685714285714286,2,3.65
75,75159,4357,113551.89350470508,"$113,552",32.6149346,-96.55698819999999,Seagoville,TX,3,3.8000000000000003,1,4.0,0,,1,4.1
76,75211,13380,107994.07399103139,"$107,994",32.7433629,-96.8887202,Dallas,TX,13,2.9000000000000004,7,4.2,2,3.2,2,3.75
77,75253,3232,105738.22091584158,"$105,738",32.6920169,-96.5890166,Dallas,TX,1,4.8,0,,0,,0,
78,75180,5759,104765.42108004862,"$104,765",32.7187246,-96.6157192,Mesquite,TX,7,2.6999999999999997,1,3.7,0,,1,4.2
79,75241,8833,90171.95743235594,"$90,172",32.6604239,-96.76010570000001,Dallas,TX,1,3.1,2,3.75,1,3.4,0,
80,75141,833,84909.41176470589,"$84,909",32.64022380000001,-96.71729069999999,Hutchins,TX,0,,0,,0,,0,
81,75212,5974,84151.52159357215,"$84,152",32.78297800000001,-96.8833562,Dallas,TX,14,3.071428571428572,3,4.333333333333333,4,3.7750000000000004,5,3.22
82,75217,19317,80556.29652637574,"$80,556",32.7099886,-96.6745042,Dallas,TX,4,2.7,2,2.5,0,,0,
83,75203,2802,75518.08708065667,"$75,518",32.7432998,-96.78687939999999,Dallas,TX,20,3.2949999999999995,8,3.9124999999999996,1,3.2,6,3.9833333333333325
84,75172,881,63724.790011350735,"$63,725",32.6028355,-96.679851,Wilmer,TX,0,,0,,0,,0,
85,75216,14850,57100.017508417506,"$57,100",32.7030883,-96.80294889999999,Dallas,TX,13,2.8076923076923075,5,3.8600000000000003,1,3.4,0,
86,75215,4430,53040.14898419865,"$53,040",32.7556954,-96.76545949999999,Dallas,TX,19,3.5421052631578944,5,3.9400000000000004,8,3.8375,13,4.046153846153846
87,76065,1,44860.0,"$44,860",32.4804629,-96.9638624,Midlothian,TX,7,3.5714285714285707,1,4.0,0,,2,4.4
88,75125,121,42103.223140495866,"$42,103",32.5203683,-96.642433,Ferris,TX,1,3.7,0,,0,,0,
89,75247,6,35345.0,"$35,345",32.8166692,-96.8833562,Dallas,TX,9,3.3000000000000003,0,,19,3.9315789473684206,6,3.9999999999999996
90,75210,1681,33010.14277215943,"$33,010",32.765421,-96.7413706,Dallas,TX,6,2.983333333333333,4,3.9750000000000005,8,3.8375,5,3.44
