,Id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
150,3453439,Ponta do Sol,0,BR,1565987626,56,-20.63,-46.0,64.35,7.54
151,3372707,Ribeira Grande,20,PT,1565987626,88,38.52,-28.7,75.2,12.75
152,1337605,Mahibadhoo,100,MV,1565987626,80,3.78,72.97,82.17,8.77
153,1018725,Bloemfontein,0,ZA,1565987627,42,-29.12,26.22,48.2,1.12
154,2022572,Khatanga,0,RU,1565987627,67,71.98,102.47,51.03,6.17
155,2065594,Mount Isa,0,AU,1565987627,50,-20.73,139.49,51.8,2.24
156,1682474,Ternate,20,PH,1565987627,83,14.29,120.72,84.99,2.24
157,962367,Richards Bay,0,ZA,1565987627,81,-28.77,32.06,70.65,28.7
158,2249901,Gat,20,SN,1565987628,74,14.69,-16.54,91.4,13.87
159,3899539,Antofagasta,75,CL,1565987628,72,-23.65,-70.4,59.0,14.99
160,344979,Lebu,40,ET,1565987629,93,8.96,38.73,57.2,4.7
161,2295684,Salaga,100,GH,1565987629,90,8.55,-0.52,75.15,4.92
162,1274553,Baghmara,100,IN,1565987629,79,23.8,86.21,80.19,2.59
163,4020109,Atuona,0,PF,1565987629,79,-9.8,-139.03,79.65,12.57
164,3448903,Sao Joao da Barra,0,BR,1565987630,49,-21.64,-41.05,71.6,17.22
165,2015306,Tiksi,100,RU,1565987630,94,71.64,128.87,40.77,3.53
166,3892454,Diego de Almagro,96,CL,1565987630,72,-26.39,-70.05,53.73,6.2
167,898905,Sesheke,0,NA,1565987630,47,-17.47,24.29,57.2,1.12
168,2450173,Taoudenni,24,ML,1565987631,18,22.68,-3.98,102.15,17.4
169,2447416,Ayorou,93,NE,1565987631,47,14.73,0.92,89.73,4.16
170,175961,Mpulungu,0,ZM,1565987631,56,-8.77,31.12,62.19,8.52
171,2126199,Cherskiy,52,RU,1565987631,48,68.75,161.3,53.01,10.18
172,2337542,Naze,40,NG,1565987631,83,5.43,7.07,80.6,4.7
173,1510131,Beya,21,RU,1565987632,92,53.05,90.92,52.11,6.42
174,3421982,Maniitsoq,100,GL,1565987632,91,65.42,-52.9,42.75,5.61
175,3382160,Cayenne,0,GF,1565987632,66,4.94,-52.33,86.0,13.87
176,1337610,Thinadhoo,77,MV,1565987633,76,0.53,72.93,82.53,5.91
177,2253354,Dakar,20,SN,1565987633,78,14.69,-17.45,82.4,11.41
178,5859699,College,90,US,1565987633,93,64.86,-147.8,55.4,11.41
179,5656882,Helena,40,US,1565987407,27,46.59,-112.04,77.0,12.75
180,115770,Shahr-e Kord,0,IR,1565987633,39,32.33,50.85,62.6,2.24
181,3378644,Georgetown,20,GY,1565987634,74,6.8,-58.16,84.2,9.17
182,3220813,Wanning,20,AT,1565987634,77,48.64,13.53,62.01,2.24
183,3863379,Mar del Plata,21,AR,1565987613,29,-46.43,-67.52,41.31,4.34
184,3576994,Cockburn Town,40,TC,1565987606,63,21.46,-71.14,91.4,11.41
185,2304548,Anloga,20,GH,1565987634,88,5.79,0.9,77.0,11.41
186,3460542,Itororo,86,BR,1565987635,91,-15.12,-40.07,61.83,6.78
187,2737599,Saldanha,0,PT,1565987635,43,41.42,-6.55,73.35,8.34
188,5681948,Fallon,20,US,1565987635,28,46.84,-105.12,86.0,12.75
189,1524606,Derzhavinsk,33,KZ,1565987635,70,51.1,66.31,62.91,8.08
190,3031871,Veraval,100,FR,1565987635,82,49.65,0.71,64.4,11.41
